id,cpu,mem,traffic
1,90,21,134679
2,1,21,134680
3,1,21,134681
4,1,21,134682
5,1,21,134683
6,1,79,134684
7,1,21,134685
8,1,21,134686
9,1,21,134687
10,1,21,134688
11,1,21,134689
12,1,21,134690
13,1,21,134691
14,1,21,134692
15,1,21,134693
16,1,21,134694
17,1,21,134695
18,1,21,134696
19,80,21,134697
20,1,21,134698
21,1,21,134699
22,1,21,134700
23,1,21,134701
24,1,21,134702
25,1,21,134703
26,1,21,134704
27,1,21,134705
28,1,21,134706
29,1,21,134707
30,1,21,134708
31,1,21,134709
32,1,21,134710
33,1,21,134711
34,1,21,134712
35,1,21,134713
36,1,21,134714
37,1,21,134715
38,1,21,134716
39,1,21,134717
40,1,21,134718
41,1,21,134719
42,1,21,134720
43,1,21,134721
44,1,21,134722
45,1,21,134723
46,1,21,134724
47,70,21,134725
48,1,21,134726
49,1,21,134727
50,1,21,134728
51,1,21,134729
52,1,65,134730
53,1,21,134731
54,1,21,134732
55,1,21,134733
56,1,21,134734
57,1,21,134735
58,1,21,134736
59,1,21,134737
60,1,21,134738
61,1,21,134739
62,1,21,134740
63,1,21,134741
64,1,21,134742
65,1,21,134743
66,1,21,134744
67,1,21,134745
68,1,21,134746
69,1,21,134747
70,1,77,134748
71,1,21,134749
72,1,21,134750
73,1,21,134751
74,1,21,134752
75,1,21,134753
76,94,21,134754
77,1,21,134755
78,1,21,134756
79,1,21,134757
80,1,21,134758
81,1,21,134759
82,1,21,134760
83,1,21,134761
84,1,21,134762
85,1,21,134763
86,1,21,134764
87,1,21,134765
88,1,21,134766
89,1,21,134767
90,1,21,134768
91,1,21,134769
92,1,21,134770
93,1,69,134771
94,1,21,134772
95,1,21,134773
96,1,21,134774
97,1,21,134775
98,1,21,134776
99,1,21,134777
100,1,21,134778
101,96,21,134779
102,1,21,134780
103,1,21,134781
104,1,21,134782
105,1,21,134783
106,1,21,134784
107,1,21,134785
108,1,21,134786
109,1,21,134787
110,1,21,134788
111,1,21,134789
112,1,21,134790
113,1,21,134791
114,1,21,134792
115,1,21,134793
116,1,21,134794
117,1,90,134795
118,1,21,134796
119,1,21,134797
120,88,21,134798
121,1,21,134799
122,1,21,134800
123,1,21,134801
124,1,21,134802
125,1,21,134803
126,1,21,134804
127,1,21,134805
128,1,21,134806
129,1,21,134807
130,1,21,134808
131,1,21,134809
132,1,21,134810
133,1,21,134811
134,1,21,134812
135,1,21,134813
136,1,21,134814
137,1,21,134815
138,1,21,134816
139,1,21,134817
140,1,21,134818
141,1,21,134819
142,1,21,134820
143,1,21,134821
144,79,21,134822
145,1,21,134823
146,1,21,134824
147,1,99,134825
148,1,21,134826
149,1,21,134827
150,1,21,134828
151,1,21,134829
152,1,21,134830
153,1,21,134831
154,1,21,134832
155,1,21,134833
156,1,21,134834
157,1,21,134835
158,1,21,134836
159,1,21,134837
160,1,21,134838
161,1,21,134839
162,1,21,134840
163,1,21,134841
164,1,21,134842
165,75,21,134843
166,1,21,134844
167,1,21,134845
168,1,88,134846
169,1,21,134847
170,1,21,134848
171,1,21,134849
172,1,21,134850
173,1,21,134851
174,1,21,134852
175,1,21,134853
176,1,21,134854
177,1,21,134855
178,1,21,134856
179,1,21,134857
180,1,21,134858
181,1,21,134859
182,1,21,134860
183,1,21,134861
184,1,21,134862
185,1,72,134863
186,1,21,134864
187,1,21,134865
188,1,21,134866
189,1,21,134867
190,1,21,134868
191,1,21,134869
192,1,21,134870
193,1,21,134871
194,1,21,134872
195,1,21,134873
196,1,21,134874
197,1,21,134875
198,95,21,134876
199,1,21,134877
200,1,21,134878
201,1,21,134879
202,1,21,134880
203,1,21,134881
204,1,21,700000
205,1,21,134883
206,1,21,134884
207,1,21,134885
208,1,21,134886
209,1,21,134887
210,1,21,134888
211,1,21,134889
212,1,21,134890
213,1,21,134891
214,1,21,134892
215,1,21,134893
216,1,21,134894
217,1,21,134895
218,1,21,134896
219,1,21,134897
220,1,21,134898
221,1,21,134899
222,1,21,134900
223,1,21,134901
224,1,21,134902
225,1,21,134903
226,1,21,134904
227,1,21,134905
228,1,21,134906
229,1,21,134907
230,1,21,134908
231,1,21,134909
232,1,21,134910
233,1,21,134911
234,1,21,134912
235,1,21,134913
236,1,21,800000
237,1,21,134915
238,1,21,134916
239,1,21,134917
240,1,21,134918
241,1,21,134919
242,1,21,134920
243,1,21,134921
244,1,21,134922
245,1,21,134923
246,1,21,134924
247,1,21,134925
248,1,21,134926
249,1,21,134927
250,1,21,134928
251,1,21,134929
252,1,21,134930
253,1,21,134931
254,1,21,134932
255,1,21,134933
256,1,21,134934
257,1,21,134935
258,1,21,134936
259,1,21,134937
260,1,21,900000
261,1,21,134939
262,1,21,134940
263,1,21,134941
264,1,21,134942
265,1,21,134943
266,1,21,134944
267,1,21,134945
268,1,21,134946
269,1,21,134947
270,1,21,134948
271,1,21,134949
272,1,21,134950
273,1,21,134951
274,1,35,134952
275,1,35,134953
276,1,35,134954
277,1,35,134955
278,1,35,134956
279,1,35,134957
280,1,35,134958
281,1,35,134959
282,1,35,134960
283,1,35,134961
284,1,35,134962
285,1,35,134963
286,1,35,600000
287,1,35,134965
288,1,35,134966
289,1,35,134967
290,1,35,134968
291,1,35,134969
292,1,35,134970
293,1,35,134971
294,1,35,134972
295,1,35,134973
296,1,35,134974
297,1,35,134975
298,1,35,134976
299,1,35,134977
300,1,35,134978
301,1,35,134979
302,1,35,134980
303,1,35,134981
304,1,35,134982
305,1,35,134983
306,1,35,134984
307,1,35,134985
308,1,35,555555
