id,cpu,mem,traffic
1,1,15,142357
2,1,15,142358
3,1,15,142359
4,1,15,142360
5,1,15,142361
6,1,15,142362
7,1,15,142363
8,70,80,300000
9,1,15,142365
10,1,15,142366
11,1,15,142367
12,1,15,142368
13,1,15,142369
14,68,65,500000
15,1,15,142371
16,1,15,142372
17,1,15,142373
18,1,15,142374
19,1,15,142375
20,1,15,142376
21,90,88,515100
22,1,15,142378
23,1,15,142379
24,1,15,142380
25,1,15,142381
26,1,15,142382
27,1,15,142383
28,1,15,142384
29,1,15,142385
30,1,15,142386
31,1,15,142387
32,1,15,142388
33,1,15,142389
34,1,15,142390
35,1,15,142391
36,1,15,142392
37,1,15,142393
38,1,15,142394
39,1,15,142395
40,1,15,142396
41,1,15,142397
42,1,15,142398
43,1,15,142399
44,1,15,142400
45,1,15,142401
46,1,15,142402
47,1,15,142403
48,1,15,142404
49,1,15,142405
50,1,15,142406
51,1,15,142407
52,1,15,142408
53,1,15,142409
54,1,15,142410
55,1,15,142411
56,1,15,142412
57,1,15,142413
58,1,15,142414
59,1,15,142415
60,1,15,142416
61,1,15,142417
62,1,15,142418
63,1,15,142419
64,1,15,142420
65,1,15,142421
66,1,15,142422
67,1,15,142423
68,1,15,142424
69,1,15,142425
70,1,15,142426
71,1,15,142427
72,1,15,142428
73,1,15,142429
74,1,15,142430
75,1,15,142431
76,1,15,142432
77,1,15,142433
78,1,15,142434
79,1,15,142435
80,1,15,142436
81,1,15,142437
82,1,15,142438
83,1,15,142439
84,1,15,142440
85,1,15,142441
86,1,15,142442
87,1,15,142443
88,1,15,142444
89,1,15,142445
90,1,15,142446
91,1,15,142447
92,1,15,142448
93,1,15,142449
94,1,15,142450
95,1,15,142451
96,1,15,142452
97,1,15,142453
98,1,15,142454
99,1,15,142455
100,1,15,142456
101,1,15,142457
102,1,15,142458
103,1,15,142459
104,1,15,142460
105,1,15,142461
106,1,15,142462
107,1,15,142463
108,1,15,142464
109,1,15,142465
110,1,15,142466
111,1,15,142467
112,1,15,142468
113,1,15,142469
114,1,15,142470
115,1,15,142471
116,1,15,142472
117,1,15,142473
118,1,15,142474
119,1,15,142475
120,1,15,142476
121,1,15,142477
122,1,15,142478
123,1,15,142479
124,1,15,142480
125,1,15,142481
126,1,15,142482
127,1,15,142483
128,1,15,142484
129,1,15,142485
130,1,15,142486
131,1,15,142487
132,1,15,142488
133,1,15,142489
134,1,15,142490
135,1,15,142491
136,1,15,142492
137,1,15,142493
138,1,15,142494
139,1,15,142495
140,1,15,142496
141,1,15,142497
142,1,15,142498
143,1,15,142499
144,1,15,142500
145,1,15,142501
146,1,15,142502
147,1,15,142503
148,1,15,142504
149,1,15,142505
150,1,15,142506
151,1,15,142507
152,1,15,142508
153,1,15,142509
154,1,15,142510
155,1,15,142511
156,1,15,142512
157,1,15,142513
158,1,15,142514
159,1,15,142515
160,1,15,142516
161,1,15,142517
162,1,15,142518
163,1,15,142519
164,1,15,135687
165,1,15,135688
166,1,15,135689
167,1,15,135690
168,1,15,135691
169,1,15,135692
170,1,15,135693
171,1,15,135694
172,1,15,135695
173,1,15,135696
174,1,15,135697
175,1,15,135698
